30023972	00239733	23973827	30023974
23972621	23973347	23973829	30024493
23972633	23973409	02393943	30024523
33992647	23973433	32393949	00974529
12345678	23973449	30074003	23974559
43972761	23973461	33974031	30074571
23972791	23973487	33974061	30074573
23972857	23973493	33974067	30074609
23972941	23973503	33974069	30074613
23972971	23973521	23974093	30074621
23972987	23973541	30074109	30023979
23973017	23973559	30074111	30023111
23973043	23973563	30074147	97472300
23973061	23973571	30074223	30023911
23973073	23973593	30074241	30023555
23973079	23973643	33974303	30023111
23973103	23973647	23974307	30021554
23973143	23973667	23974319	30023888
23973179	23973677	23974327	30024544
23973191	23973743	30024367	30023898
23973307	23973757	30974381	30023100
23973311	23973797	23974423	33974901
23973313	23973803	30024441	30074973
23973319	23973817	30974451	30023987
23973323	02973821	30974459	30023970
12345678    12345678    12345678    12345678
